Country,Continent,population_2023,Rank,Avg_IQ,Literacy_Rate,Nobel_Prices,HDI_2021,MYS_2021,GNI_2021
Japan,Asia,123294513,1.0,106.48,0.99,29.0,0.925,13.4,42274.0
Taiwan,Asia,10143543,2.0,106.47,0.96,4.0,0.906,13.9,33565.0
Singapore,Asia,6014723,3.0,105.89,0.97,0.0,0.939,11.9,90919.0
Hong Kong,Asia,7491609,4.0,105.37,0.94,1.0,0.952,12.2,62607.0
China,Asia,1425671352,5.0,104.1,0.96,8.0,0.768,7.6,17504.0
South Korea,Asia,51784059,6.0,102.35,0.98,0.0,0.925,12.5,44501.0
Belarus,Europe,9498238,7.0,101.6,1.0,2.0,0.808,12.1,18849.0
Finland,Europe,5545475,8.0,101.2,1.0,5.0,0.94,12.9,49452.0
Liechtenstein,Europe,	39315,9.0,101.07,1.0,0.0,0.935,12.5,146830.0
Germany,Europe,83294633,10.0,100.74,0.99,111.0,0.942,14.1,54534.0
Netherlands,Europe,17618299,11.0,100.74,0.99,22.0,0.941,12.6,55979.0
Estonia,Europe,1322766,12.0,100.72,1.0,0.0,0.89,13.5,38048.0
Luxembourg,Europe,654.768,13.0,99.87,1.0,2.0,0.93,13.0,84649.0
Macao,Asia,704.15,14.0,99.82,0.97,0.0,0.8783033829666953,11.929166967091478,40334.203295805535
Cambodia,Asia,16944826,15.0,99.75,0.78,0.0,0.593,5.1,4079.0
Canada,North America,38781292,16.0,99.52,0.99,28.0,0.936,13.8,46808.0
Australia,Oceania,26439112,17.0,99.24,0.99,12.0,0.951,12.7,49238.0
Hungary,Europe,10156239,18.0,99.24,0.99,13.0,0.846,12.2,32789.0
Switzerland,Europe,8796669,19.0,99.24,0.99,27.0,0.962,13.9,66933.0
United Kingdom,Europe,67736802,20.0,99.12,0.99,137.0,0.929,13.4,45225.0
North Korea,Asia,26160822,21.0,98.82,1.0,0.0,0.925,12.741481141608412,35523.0
Slovenia,Europe,2119675,22.0,98.6,1.0,1.0,0.918,12.8,39746.0
New Zealand,Oceania,5228100,23.0,98.57,0.99,3.0,0.937,12.9,44057.0
Austria,Europe,8958961,24.0,98.38,0.98,22.0,0.916,12.3,53619.0
Iceland,Europe,375.319,25.0,98.26,0.99,1.0,0.959,13.8,55782.0
Denmark,Europe,5910913,26.0,97.83,0.99,13.0,0.948,13.0,60365.0
Belgium,Europe,11686140,27.0,97.49,0.99,11.0,0.937,12.4,52293.0
United States,North America,339996564,28.0,97.43,0.99,400.0,0.921,13.7,64765.0
Norway,Europe,5474360,29.0,97.13,1.0,13.0,0.961,13.0,64660.0
Sweden,Europe,10612086,30.0,97.0,0.99,32.0,0.947,12.6,54489.0
France,Europe,64756584,31.0,96.69,0.99,71.0,0.903,11.6,45937.0
Poland,Europe,41026068,32.0,96.35,1.0,19.0,0.876,13.2,33034.0
Slovakia,Europe,5795199,33.0,96.32,1.0,0.0,0.848,12.9,30690.0
Russia,Europe/Asia,144444359,34.0,96.29,1.0,0.0,0.822,12.8,27166.0
Lithuania,Europe,2718352,35.0,95.89,1.0,3.0,0.875,13.5,37931.0
Croatia,Europe,4008617,36.0,95.75,0.99,2.0,0.858,12.2,30132.0
Andorra,Europe,76.965,37.0,95.2,1.0,0.0,0.858,10.6,51167.0
Ireland,Europe,5056935,38.0,95.13,0.99,11.0,0.945,11.6,76169.0
Czech republic,Europe,10495295,39.0,94.92,0.99,6.0,0.889,12.9,38745.0
Latvia,Europe,1830212,40.0,94.79,1.0,1.0,0.863,13.3,32803.0
Italy,Europe,58870763,41.0,94.23,0.99,21.0,0.895,10.7,42840.0
New Caledonia,Oceania,292.991,42.0,93.92,0.97,0.0,0.8418020934644785,11.324064532868643,34338.981633743446
Vanuatu,Oceania,334.506,43.0,93.92,0.85,0.0,0.607,7.1,3085.0
Spain,Europe,47519628,44.0,93.9,0.98,8.0,0.905,10.6,38354.0
Bermuda,North America,63.837,45.0,93.48,0.98,0.0,0.981,13.330269840991459,38013.893395321764
Cyprus,Europe,1260138,46.0,93.39,0.99,1.0,0.896,12.4,38188.0
Portugal,Europe,10247605,47.0,92.77,0.95,2.0,0.866,9.6,33155.0
Israel,Asia,9174520,48.0,92.43,0.97,13.0,0.919,13.3,41524.0
Barbados,Central America,281.996,49.0,91.6,1.0,0.0,0.79,9.9,12306.0
Malta,Europe,535.065,50.0,91.27,0.94,0.0,0.918,12.2,38884.0
Myanmar,Asia,54577997,51.0,91.18,0.93,1.0,0.585,6.4,3851.0
Mongolia,Asia,3447157,52.0,91.03,0.98,0.0,0.739,9.4,10588.0
Bulgaria,Europe,6687717,53.0,90.99,0.98,1.0,0.795,11.4,23079.0
Greece,Europe,10341277,54.0,90.77,0.95,2.0,0.887,11.4,29002.0
Suriname,South America,623.237,55.0,90.29,0.96,0.0,0.73,9.8,12672.0
Ukraine,Europe,36744634,56.0,90.07,1.0,6.0,0.773,11.1,13256.0
Moldavia,Europe,3435931,57.0,89.98,0.99,0.0,0.767,11.8,14875.0
Serbia,Europe,7149077,58.0,89.6,0.98,0.0,0.802,11.4,19123.0
Vietnam,Asia,98858950,59.0,89.53,0.95,1.0,0.703,8.4,7867.0
Iraq,Asia,45504560,60.0,89.28,0.8,1.0,0.686,7.9,9977.0
Uzbekistan,Asia,35163944,61.0,89.01,1.0,0.0,0.727,11.9,7917.0
Kazakhstan,Asia,19606634,62.0,88.89,1.0,0.0,0.811,12.3,23943.0
Thailand,Asia,71801279,63.0,88.87,0.94,0.0,0.8,8.7,17030.0
Armenia,Asia,2777971,64.0,88.82,1.0,0.0,0.759,11.3,13158.0
Bosnia and Herzegovina,Europe,3210848,65.0,88.54,0.98,2.0,0.78,10.5,15242.0
Costa Rica,Central America,5212173,66.0,88.34,0.98,1.0,0.809,8.8,19974.0
Bhutan,Asia,787.425,67.0,87.94,0.64,0.0,0.666,5.2,9438.0
Chile,South America,19629590,68.0,87.89,0.97,2.0,0.855,10.9,24563.0
Mexico,North America,128455567,69.0,87.73,0.95,3.0,0.758,9.2,17896.0
Tajikistan,Asia,10143543,70.0,87.71,1.0,0.0,0.685,11.3,4548.0
Uruguay,South America,3423109,71.0,87.59,0.98,0.0,0.809,9.0,21269.0
Brunei,Asia,452.524,72.0,87.58,0.97,0.0,0.829,9.2,64490.0
Malaysia,Asia,34308525,73.0,87.58,0.95,0.0,0.803,10.6,26658.0
Bahamas,Central America,412.624,74.0,86.99,0.96,0.0,0.812,12.6,30486.0
Romania,Europe,19892812,75.0,86.88,0.99,5.0,0.821,11.3,30027.0
Türkiye,Europe/Asia,85816199,76.0,86.8,0.96,2.0,0.838,8.6,31033.0
Argentina,South America,45773884,77.0,86.63,0.98,5.0,0.842,11.1,20925.0
Sri Lanka,Asia,21893579,78.0,86.62,0.93,0.0,0.782,10.8,12578.0
Mauritius,Africa,1300557,79.0,86.56,0.91,0.0,0.802,10.4,22025.0
Turkmenistan,Asia,6516100,80.0,85.86,1.0,0.0,0.745,11.3,13021.0
Montenegro,Europe,626.485,81.0,85.78,0.99,0.0,0.832,12.2,20839.0
Trinidad and Tobago,Central America,1534937,82.0,85.63,0.99,1.0,0.81,11.6,23392.0
Azerbaijan,Asia,10412652,83.0,84.81,1.0,1.0,0.745,10.5,14257.0
Georgia,Europe/Asia,3728282,84.0,84.5,1.0,0.0,0.802,12.8,14664.0
Turks and Caicos Islands,Central America,44.104,85.0,84.29,0.98,0.0,0.7920706708014248,10.550345902590632,25584.499680522553
Paraguay,South America,6861524,86.0,84.04,0.96,0.0,0.717,8.9,12349.0
Federated States of Micronesia,Oceania,115.224,87.0,83.96,0.89,0.0,0.628,7.8,3696.0
Fiji,Oceania,936.375,88.0,83.96,0.94,0.0,0.73,10.9,9980.0
Marshall Islands,Oceania,41.996,89.0,83.96,0.98,0.0,0.639,10.9,4620.0
Solomon Islands,Oceania,740.425,90.0,83.96,0.84,0.0,0.564,5.7,2482.0
Cuba,Central America,11194449,91.0,83.9,1.0,0.0,0.764,12.5,7879.0
Bahrain,Asia,1485510,92.0,83.6,0.96,0.0,0.875,11.0,39497.0
Brazil,South America,216422446,93.0,83.38,0.93,0.0,0.754,8.1,14370.0
Guyana,South America,813.834,94.0,83.23,0.88,0.0,0.714,8.6,22465.0
Colombia,South America,52085168,95.0,83.13,0.95,2.0,0.752,8.9,14384.0
Venezuela,South America,28838499,96.0,82.99,0.95,1.0,0.691,11.1,4811.0
Cayman Islands,Central America,69310,97.0,82.24,0.99,0.0,0.7792861779691987,10.359023741287356,23047.49261474165
Afghanistan,Asia,42239854,98.0,82.12,0.38,0.0,0.478,3.0,1824.0
Haiti,Central America,11724764,99.0,82.1,0.61,0.0,0.535,5.6,2848.0
Dominican Republic,Central America,11332973,100.0,82.05,0.92,0.0,0.767,9.3,17990.0
United Arab Emirates,Asia,9516871,101.0,82.05,0.93,0.0,0.911,12.7,62574.0
Puerto Rico,Central America,3260314,102.0,81.99,0.93,0.0,0.7434615442865407,9.53591417104955,20309.34681118821
North Macedonia,Europe,2085679,103.0,81.91,0.98,0.0,0.77,10.2,15918.0
Albania,Europe,2832439,104.0,81.75,0.98,0.0,0.796,11.3,14131.0
Lebanon,Asia,5353930,105.0,81.7,0.94,0.0,0.706,8.7,9526.0
Philippines,Asia,117337368,106.0,81.64,0.97,1.0,0.699,9.0,8920.0
Peru,South America,34352719,107.0,81.44,0.94,1.0,0.762,9.9,12246.0
Northern Mariana Islands,Oceania,49.796,108.0,81.36,0.97,0.0,0.7513084043585794,9.785210845265707,19667.310399875314
Laos,Asia,7633779,109.0,80.99,0.8,0.0,0.607,5.4,7700.0
Libya,Africa,6888388,110.0,80.92,0.91,0.0,0.718,7.6,15336.0
Qatar,Asia,2716391,111.0,80.78,0.98,0.0,0.855,10.0,87134.0
Jordan,Asia,11337053,112.0,80.7,0.98,0.0,0.72,10.4,9924.0
Maldives,Asia,521.022,113.0,80.54,0.99,0.0,0.747,7.3,15448.0
Iran,Asia,89172767,114.0,80.01,0.87,1.0,0.774,10.6,13001.0
Pakistan,Asia,240485658,115.0,80.0,0.56,2.0,0.544,4.5,4624.0
Grenade,Central America,126.184,116.0,79.34,0.96,0.0,0.795,9.0,13484.0
Tunisia,Africa,12458223,117.0,79.22,0.81,1.0,0.731,7.4,10258.0
Kyrgyzstan,Asia,6735348,118.0,79.09,0.99,0.0,0.692,11.4,4566.0
Panama,Central America,4468087,119.0,79.0,0.95,0.0,0.805,10.5,26957.0
Chad,Africa,18278568,120.0,78.87,0.4,0.0,0.394,2.6,1364.0
Sudan,Africa,48109006,121.0,78.87,0.59,0.0,0.508,3.8,3575.0
Seychelles,Africa,107.66,122.0,78.76,0.95,0.0,0.785,10.3,25831.0
Oman,Asia,4644384,123.0,78.7,0.94,0.0,0.816,11.7,27054.0
Kuwait,Asia,4310108,124.0,78.64,0.96,0.0,0.831,7.3,52920.0
East Timor,Asia,1360596,125.0,78.49,0.64,0.0,0.5802214231163485,5.794747527621241,8342.074668015244
Indonesia,Asia,277534123,126.0,78.49,0.95,0.0,0.705,8.6,11466.0
Papua New Guinea,Oceania,10329931,127.0,78.49,0.63,0.0,0.558,4.7,4009.0
Ecuador,South America,18190484,128.0,78.26,0.95,0.0,0.74,8.8,10312.0
Palestine,Asia,5040000,129.0,77.69,0.97,1.0,0.715,9.9,6583.0
Senegal,Africa,17763163,130.0,77.37,0.56,0.0,0.511,2.9,3344.0
Comoros,Africa,852.075,131.0,77.07,0.78,0.0,0.558,5.1,3142.0
